Title,Company,Location,SalaryType,MinSalary,MaxSalary,AvgSalary
Data Scientist,Driven Brands,"Benicia, CA",unknown,,,
Business Analyst,Sabot Consulting,Remote,hour,80.0,120.0,208000.0
IT Business Intelligence Developer (FT) Remote Position,Ballad Health,"Remote in Blountville, TN",unknown,,,
Data Engineer,Longevity Holdings Inc.,"Remote in Minneapolis-Saint Paul, MN",year,90000.0,110000.0,100000.0
Network Administrator/dba developer,WKI Kenworth,"Wichita, KS 67219",year,50000.0,70000.0,60000.0
"Sr Manager, Data Science",Gilead Sciences,"Foster City, CA",unknown,,,
Business Intelligence Developer,Signify Health,"Remote in Dallas, TX",unknown,,,
Senior Business Intelligence (BI) Developer,Apria Healthcare,Remote,unknown,,,
Senior Manager-Data Science,"Greenium Tech, LLC","Chicago, IL 60603 (Loop area)",hour,75.0,90.0,171600.0
Director of Data Science,Qcells,"Hybrid remote in San Francisco, CA",unknown,,,
Data Engineer,Vingsfire pvt ltd,Remote,hour,50.0,50.0,104000.0
Database Administrator,Helm,Remote,unknown,,,
"Director, Data Science (Remote)",Sun Life,"Remote in Kansas City, MO 64108",year,145400.0,218200.0,181800.0
"Director, Data Science & Analytics, Lingo",Abbott Laboratories,"Alameda, CA",unknown,,,
Data Science Manager - TikTok Ads,TikTok,"Seattle, WA+5 locations",unknown,,,
Data Science Senior Manager - Evernorth,Cigna,"Hartford, CT 06152 (Frog Hollow area)",year,116900.0,194800.0,155850.0
"MANAGER, DATA SCIENCE ENGINEERING",DraftKings,"Dublin, CA+1 location",unknown,,,
Data Scientist,ADG Tech Consulting,Remote,hour,60.0,60.0,124800.0
Director of CRM & Data Analytics,Ambassador Theatre Group,"New York, NY 10036 (Hell's Kitchen area)",year,130000.0,140000.0,135000.0
Software Engineer,Ezoic,"Carlsbad, CA 92009 (Bressi Ranch area)+1 location",unknown,,,
"Manager, Data Science","The American Occupational Therapy Association, Inc","Hybrid remote in North Bethesda, MD 20852",unknown,,,
"Senior Lead Data Systems Engineer (Broomfield, Littleton or Denver CO)",Lumen,"Littleton, CO 80120",year,100440.0,223680.0,162060.0
Data Scientist / Computational Medical Editing /Machine Learning,Boston Children's Hospital,"Boston, MA 02115 (Mission Hill area)",unknown,,,
Senior Data Scientist,Engtal,Remote,year,150000.0,185000.0,167500.0
Data Scientist,DeepScribe,"Remote in San Francisco, CA",unknown,,,
Machine Learning Engineer,Seekr,"Remote in Carlsbad, CA",unknown,,,
"Senior Manager, Data Science and Machine Learning",Spring Health,"Remote in New York, NY 10001",unknown,,,
Junior Data Engineer,Pepsico,+8 locationsRemote,year,90000.0,100000.0,95000.0
